아파트ID,아파트명,지번주소,위도,경도,동수,세대수,임대수,용적률,건폐율,주차대수,건설사
120330,샹그리라(주상복합),서울시 은평구 녹번동 83-58,37.602671,126.928484,1,8,0,299,59,8,(주)명보종함건설
119813,세민하이파크,서울시 은평구 녹번동 83-51,37.603063,126.927197,1,18,0,359,54,22,(주)아름건설
104446,송학파크팰리스(주상복합),서울시 은평구 녹번동 83-47,37.602964,126.928439,1,16,0,327,55,17,(주)예성디앤에스
129725,수안(도시형),서울시 은평구 녹번동 27-7,37.60635,126.933237,1,20,0,249,34,12,(주)지우종합건설
102558,신현대,서울시 은평구 녹번동 176-8,37.601906,126.922101,1,12,0,366,59,15,
145994,아임시티(주상복합),서울시 은평구 녹번동 160-37,37.60198,126.922797,1,28,0,249,35,15,(주)조운종합건설
119515,에스엠벨리체,서울시 은평구 녹번동 80-8,37.605943,126.923893,1,15,0,283,45,11,대보종합건설(주)
25237,예원,서울시 은평구 녹번동 86-126,37.603479,126.929553,1,13,0,318,56,17,
106814,월든힐스,서울시 은평구 녹번동 29-106,37.604744,126.932932,1,19,0,193,50,19,세중토건주식회사
112139,유일아트리움(주상복합),서울시 은평구 녹번동 176-22,37.602449,126.92232,1,29,0,326,46,23,세림종합건설주식회사
155623,제니더클래식,서울시 은평구 녹번동 31-36,37.605113,126.934212,1,28,0,249,33,23,제니건설(주)
24117,청록MS,서울시 은평구 녹번동 91-9,37.603553,126.930786,1,19,0,250,44,23,한우리종합건설(주)
104600,청솔,서울시 은평구 녹번동 71-8,37.599403,126.938207,1,18,0,269,50,19,신의종합건설(주)
120751,초우,서울시 은평구 녹번동 100-32,37.604824,126.927721,1,13,0,271,45,12,씨에스종합건설(주)
169340,타미라피네(주상복합),서울시 은평구 녹번동 144-49,37.606301,126.923591,1,16,0,299,58,12,(주)덕과종합건설
125793,펠리체(도시형),서울시 은평구 녹번동 83-11,37.602743,126.927928,2,17,0,299,56,17,휴먼서흥종합건설(주)
141795,한경S타워(주상복합),서울시 은평구 녹번동 144-69,37.606246,126.923285,1,8,0,355,58,7,(주)한경에스종합건설
10237,해주드림빌,서울시 은평구 녹번동 279-1,37.60383,126.92309,2,111,0,232,28,149,해주종합개발(주)
779,현대,서울시 은평구 녹번동 100-55,37.604907,126.929125,1,132,0,204,17,0,현대산업개발(주)
16448,현재맨션,서울시 은평구 녹번동 35-122,37.603131,126.933654,1,19,0,268,33,24,현재건설(주)
111964,힐스테이트녹번,서울시 은평구 녹번동 282,37.601981,126.936352,13,952,185,243,23,1068,현대건설(주)
119232,YS홈타운(도시형),서울시 은평구 대조동 186-44,37.616782,126.922496,1,42,0,456,58,6,(주)상원티에스
136205,경인에버빌(주상복합),서울시 은평구 대조동 197-16,37.617505,126.920456,1,21,0,495,59,12,(주)가인산업개발
117109,나이스홈(주상복합),서울시 은평구 대조동 6-18,37.611185,126.927916,1,14,0,486,55,7,웅천종합건설(주)
133489,"뉴캐슬(9-29,도시형)",서울시 은평구 대조동 9-29,37.610549,126.928233,1,28,0,576,55,2,엔트윈산업개발(주)
